"1","WELCOME TO [SubLegWag]

👍Оператор:
Telegram: @Meridian787

Vipole: sublegwag

👍Вакансии:
@SubLegWag_job

👍Бот автопродаж:
@SubLegWag_bot
[Заблокирован]
ДРУГИХ КОНТАКТОВ НЕТ!
------------------------

Отзывы: https://telegram.me/Prosublegwag

Ветка:
https://swimpool.biz/forum/threads/sublegwag-skorost-kristally-akcija.2209/page-29#post-728825

------------------------
На полках:

1⃣СК APV - 29 [кристаллы]

💲0,5гр. - 1200®
💲1,0гр. - 2300®



2⃣Амфетамин-Револьвер

💲0,5гр. - 1000®
💲1,0гр. - 1600®


3⃣ Фентанил [Опиат]

💲0,5гр. - 1200®
💲1,0гр. - 2200®


4⃣Мефедрон [Мяу 99.7%]

💲0,5гр. - 1100®
💲1,0гр. - 1800®


5⃣ СП(Росс) [Сказка]

💲1,0 гр. - 700®
💲3,0 гр. - 1600®


 6⃣Реагент [1к70]

💲0,5гр. - 1400®
💲1,0гр. - 2600®


7⃣План [Гашиш]

💲0,5гр. - 1000®
💲1,0гр. - 1500®

Наличие товара уточняйте у оператора или в боте автопродаж.
------------------------
По ОПТовым поставкам ЛС: Цены. Сроки. 


ПРОБ НЕТ. 

СКИДОК НЕТ.

ЧАТА НЕТ. 

ВЕТКА НА ФОРУМЕ.

ЗА ФЛУД БАН.

СПРОСИЛ КИВИ И НЕ ОПЛАТИЛ БАН.


КИВИ И КОММЕНТАРИЙ СТРОГО ПЕРЕД ОПЛАТОЙ.



Х О Р О Ш Е Г О   Д Н Я ! ! !","Продажа наркотиков",NULL,NULL
"8","THE ONION_MSK:
THE ONION LABS:
Сервис Работает готовыми надежными кладами📦
➖➖➖➖➖➖➖➖➖➖➖➖
📌 Контакты магазина:
✅ Telegram:@THEONIONLABS
✅ Telegram: @ONION_MSK
➖➖➖➖➖➖➖➖➖➖➖➖
✅ ОДОБРЕНО LegalRC.com
✅Чат https://t.me/joinchat/HtG1pEu7s_C3Q4LVlLa6rw
➖➖➖➖➖➖➖➖➖➖➖➖
✅ Канал отзывов: https://t.me/joinchat/AAAAAE5-UI1mioNhjEvOHQ
➖➖➖➖➖➖➖➖➖➖➖➖
СК-Белый Кристал💎
0.3гр-900руб💵
0.5гр-1100руб💵
1гр-2000руб💵
➖➖➖➖➖➖
СК-Зеленый Кристал💎
0.3гр-1000руб💵
0.5гр1300руб💵
1гр2500руб💵
➖➖➖➖➖➖
СК-Мука🍧
0.3гр-900руб💵
0.5гр-1200руб💵
1гр-2200руб💵
➖➖➖➖➖➖
Героин (Новый)💉
0.3гр-1000руб💵
➖➖➖➖➖➖
Реагент 1к25🅿️
0.5гр-1300руб💵
➖➖➖➖➖➖
Гашиш-€🤙
1гр-600руб💵
3гр-1800руб💵
➖➖➖➖➖
Гашиш-Euro Morocco🍫
1гр-700руб💵
➖➖➖➖➖
СП-рос🌿
1гр-600руб💵
3гр-1800руб💵
➖➖➖➖➖
Марки🎟
2шт-900руб💵
4шт-1500руб💵
➖➖➖➖➖➖
ГИДРОПÓНИКА🏵
1гр-1000руб💵
3гр-2500руб💵
➖➖➖➖➖
Ск ЧЕРНЫЙ ИЗУМРУД🔮
0.3гр-1000руб💵
0.5гр-1500руб💵
1гр-2500руб💵
➖➖➖➖➖
Амфетамин white:🌄
1гр-1000руб💵
➖➖➖➖➖
Амфетамин розовый:🎆
1гр-1200руб💵
💲➖➖➖➖➖➖➖➖➖💲
      ♨️Каждый День♨️
                    💯
     💯💯привноты💯💯
 
💯➿➿➿➿➿➿➿➿💯","Продажа наркотиков",NULL,NULL
"9","Mr. President РАБОТАЮ!:
Интересующюю вас позицию в прайсе уточняйте наличие перед оплатой

💎ск белый крис💫
💎05ск-1500💲 ✔
💎03ск-1000💲 ✔ 
💎1гр- 2200💲 ✔ 
                                                        
🆕ТВ 💣💫
🆕3гр-1300💲 ✔
🆕5гр-1800💲✔
🆕2гр-1000💲 ✔
🆕10гр 3000 💲 ✔


👇👇👇👇👇👇👇👇👇

НАШ ЧАТ https://t.me/joinchat/HwZ2wg_CpJ2XUTzqbyiyEA
ОПЕРАТОР @MrPresidentoshop
ТРЕБУЮТСЯ КУРЬЕРЫ ЗАЛОГ МИНИМИЛЕН!","Продажа наркотиков",NULL,NULL
"14","💥Вас приветствует магазин BIG BOSS😎💥💥 

✨✨✨На связи оператор Леся!😽✨✨ 

********************************** 
          🔥 ПРАЙС 🔥 


            📎Росс: 🔰

          🍂(1гр) – 550р
          🍂(2гр) - 1000р
          🍂(3гр) – 1500р

********************
            📎Скорость:🔰

       💎 (0.2) – 650р💰 +🎁тв
       💎 (0.3) – 850р
       💎 (0,5) – 1200р
       💎 (1гр) – 2300р

********************************************************

      📎Комбо адреса✅

💎🍂 0.3СК + 1г росс - 1200р
💎🍂 0.5СК + 1г росс - 1550р
💎🌑 0.3СК + 1г ТВ - 1400р

#####:::::::::::::::::::::::::::::#####

✨💯 Под заказ ОПТ от 10гр: 💯✨ 

🍀 Росс (10гр) – 4000р 🍀Росс  (15гр) – 6000р 

💎 СК (10гр) – 15 000р 💎 СК (30гр) – 42 000р 

🏃Адреса ОПТ делаем в течении 2х часов с момента оплаты 
************************
✔ Работаем только в Telegram @Bigbosss1✔ 
🔱 каждый день☀💤 

Наш канал:
https://t.me/joinchat/AAAAAEDAn7eUZ_eogpbKEA

📣 📣 📣 📣 📣 📣 📣 📣 📣 📣 📣 📣 
💖💋 
************************
❗Платежи принимаются ТОЛЬКО в полном объёме, и с комментарием в виде вашего ника в телеграм!!! 
‼В долг НЕ работаем!!! ‼ 

💰 Уточняйте киви перед оплатой💰 👣","Продажа наркотиков",NULL,NULL
"43","Наш прайс-лист на 16.01.2018*



Кристаллы *


Кемерово:
5гр – 8500р*
10гр – 13500р*

Юрга:
2гр – 4000р*




Твердый*:


Березовский:
3гр – 1350р*

Верхняя чебула:
5гр – 1800р*
10гр – 3000р*

Красноярск:
10гр – 2500р*
20гр – 4800р*

Кемерово:
50гр – 15000р*


Минусинск:
2гр – 1000р*

Мариинск:
2гр – 1000р*
5гр – 2000р*(тв россыпью)

РОСС:

Кемерово:
4гр – 1500р*

Березовский:
10гр – 3000р*

Анжеро-Судженск:
10гр – 3000р*

Новокузнецк:
20гр – 5000р*

Киселевск:
20гр – 5000р*

ОПТ НАЛИЧИЕ И ПО ЗАПРОСУ

Ветка: https://legalrc.com/threads/kemerovo-marlboro-novokuzneckanzhero-sudzhenskleninsk-kuzneckijbelovokiselevskprokopevsk.276195/

https://t.me/joinchat/HQi9qz9y7Fw9H9IEtGXRTg
Канал  https://t.me/marlborotrue_Reviews","Продажа наркотиков",NULL,NULL
"44","Прайс на 16.01.2018♐️
➖➖➖➖➖➖➖➖➖➖➖➖
✅ Оператор:@doroga290 ✔️ждет вас!! ежедневно✔️

     🔮розавая СК 

🔮 крис 0.5г (1300руб)
🔮 крис 0.3г (1000руб)


💎 КРИС - БЕЛЫЙ 

💎 крис 1г    (2400руб)  
💎 крис 0.5г (1200руб)

    🗻 СК мука - ВВ 

🗻 мука 1г   (1800руб)
🗻 мука 0.5г (1000руб)  
🗻 мука 0,3г (800руб)

     🌾РОСС -ДИЧКА

🌾 росс 3г (1300руб) 
🌾 росс 2г (1000руб) 
🌾 росс 1г (600руб)

    💣 ТВ (1k15)

🏈 Тв 3г - 1300 р 

    🔔 Опт предзаказ 🔔 

     💎 Скорость  ♨️ ✔️

💎 3г - 5000 Руб.
💎 5г -  7000 Руб.
💎 10г - 11000 Руб.
💎 15г -  16000 руб.

     🍂 Росс. ♨️ ✔️

🍂 7г -  3500 Руб.
🍂 10г - 4500 Руб.

      🌕  РЕГА 1к70 ♨️✔️

🌕 3г - 8100 Руб.
🌕 5г - 11500 Руб.
https://t.me/joinchat/AAAAAFJRIYvdpS6zL_5wvw","Продажа наркотиков",NULL,NULL
"47","интересующюю вас позицию в прайсе уточняйте наличие перед оплатой

💎ск белый крис💫
💎05ск-1500💲 ✔
💎03ск-1000💲 ✔ 
💎1гр- 2200💲 ✔ 
                                                        
🆕ТВ 💣💫
🆕3гр-1300💲 ✔
🆕5гр-1800💲✔
🆕2гр-1000💲 ✔
🆕10гр 3000 💲 ✔


👇👇👇👇👇👇👇👇👇
ПРОБ НЕТ И НЕ БУДЕТ
НАШ ЧАТ https://t.me/joinchat/HwZ2wg_CpJ2XUTzqbyiyEA
ОПЕРАТОР @MrPresidentoshop
ТРЕБУЮТСЯ КУРЬЕРЫ ЗАЛОГ МИНИМИЛЕН!","Продажа наркотиков",NULL,NULL
"48","Народ‼️Внимание всем

Я Работаю!!
 
г.Архангельск 

г.Астрахань

г.Абакан

г.Барнаул

г.Белгород

г.Саратов

г.Омск

г.Уфа

г.Кемерово

г.Краснодар

г.Красноярск

г.Курск

г.Ростов-на-дону

г.Санкт-Петебург

г.Энгельск

г.Екатеринбург

г.Москва

г.Хабаровск

г.Новосибирск

г.Владивосток

г.Комсомольск-на-Амуре
❕❕❕❕❕❕❕
Прайс товара для всех городов единый смотрите внимательно.
❕❕❕❕❕❕❕
Наш прайс товара.
❕❕❕❕❕❕❕
♻️♻️♻️*Green*♻️♻️♻️
...Камни...
0,3-1100руб.

0,5-1400руб.

1гр-2500руб.

2гр-4500руб.
❕Ограничен товар.❕
Ск *Альфа*
Мука.
0,3-1250р
0,5-1500р
1гр-2400р
Реагент❗️
‼️‼️‼️‼️‼️‼️‼️‼️
❌Чистым нельзя❌
‼️‼️‼️‼️‼️‼️‼️‼️

*1/90~0,5-1500руб.
             1гр-3000руб.

*1/30~0,5-1100руб.
             1гр-2200руб.
*Героин*
0,3-1300руб.
*Меф*
0,5-1250руб.
1гр-2500руб.
Ссылка на чат https://t.me/joinchat/HMjCJRG9Ns5AifLp0qu07w.          По астольным вапросам лс","Продажа наркотиков",NULL,NULL
"52","📝 16.01.2018

✴ СК Крисс 
0.3гр - 900 руб.
0.5гр -1200 руб.
1 гр - 2200 руб.
2 гр - 4300 руб.

✴ Гашиш (EVRO) 
1гр - 1000 руб 
3гр -2200 руб

✴Твердый 
2гр - 1000 руб
5гр - 2400 руб 

✴ Фентанил 
0.5гр - 1700 руб

В наличии появилось комбо:

✴ 0.3гр СК + ТВ 2гр - 1400 руб.

⭐️Все адреса с 2 фото⭐️ 

⛄️ Оператор:  @Konstruktorslego

⭐️ Список рабочих городов на канале!  
 
 🌨 Наш канал: 
https://t.me/Konstruktors_lego24","Продажа наркотиков",NULL,NULL
"54","Marlboro Shop:
Marlboro Shop:
Marlboro Shop:
Marlboro Shop:
Marlboro Shop:
ВКЛЮЧАЕТСЯ СПАМ МОГУ НЕ ОТВЕЧАТЬ ОЖИДАЙТЕ БОЛЬШЕ 3х СООБЩЕНИЙ НЕ ПИСАТЬ!!!!!!!!!:
Наш прайс-лист на 16.01.2018*



Кристаллы * Мука*

Москва:
05-800р*
1 гр-1400р*
2 гр-2000р*

Уфа:
0.5-800р*
1гр-1400р*
2гр-2000р*

Кемерово:
5гр – 8500р*
10гр – 13500р*

Юрга:
2гр – 4000р*




Твердый*:


Березовский:
3гр – 1350р*

Верхняя чебула:
5гр – 1800р*
10гр – 3000р*

Красноярск:
10гр – 2500р*
20гр – 4800р*

Кемерово:
50гр – 15000р*


Минусинск:
2гр – 1000р*

Мариинск:
2гр – 1000р*
5гр – 2000р*(тв россыпью)

РОСС:

Кемерово:
4гр – 1500р*

Березовский:
10гр – 3000р*

Анжеро-Судженск:
10гр – 3000р*

Новокузнецк:
20гр – 5000р*

Киселевск:
20гр – 5000р*

ОПТ НАЛИЧИЕ И ПО ЗАПРОСУ

Оператор после 00.00
@marIborotrue1

Ветка: https://legalrc.com/threads/kemerovo-marlboro-novokuzneckanzhero-sudzhenskleninsk-kuzneckijbelovokiselevskprokopevsk.276195/

https://t.me/joinchat/HQi9qz9y7Fw9H9IEtGXRTg
Канал  https://t.me/marlborotrue_Reviews","Продажа наркотиков",NULL,NULL
"56","🎄Свежие клады по 🎅  НОВОГОДНИМ ЦЕНАМ!

⚜ ОПЕРАТОР: @Eklad_Shop

Тех.поддержка : 
@Eklad_Support

-❄АМФЕТАМИН❄ (💯0.5г - 210 , 1г - 335🔝)
-🌴ШИШКИ🌴 [💯 1г - 200 , 2г - 330 , 5г - 700 / White Widow, OG Kush, Гагарин  🔝]
-🌴РОССЫПЬ🌴 [💯 3г - 150 , 10г - 400 / С СОРТА: WW, OGKUSH  🔝]
-❗A-PVP❗(💯0.25г - 200 , 0.5г - 330, 1г - 550🔝)
-♥MDMA♥ (💯0.25г - 280, 0.5г - 400грн, 1г - 730 / 92% NETHERLANDS🔝)


❌Новинка : Enzo Red Diamond❌
Описание товара: Мощнейший Стимулятор ! Центральной нервной системы.

Все способы употребления, главное не переборщить😱
Районы уточняйте у оператора!✍

➡️Еженедельная скидка⬅️
Только сегодня с 7:00 по 23:00 скидка!📣
На весь товар -20%, успей затариться на выходные🎁💊🎉

Свежие закладки во всех районах твоего города!☑️
➡️ 0,25 - в наличии
➡️ 0,5 - в наличии
➡️ 1 - в наличии


https://postimg.org/image/letnsp8bh/","Продажа наркотиков",NULL,NULL
